IsBadBuy,VehicleAge,WheelTypeID,VehOdo,MMRCurrentAuctionCleanPrice,VehBCost,WarrantyCost
0,5,1,56064,12211,11300,754
0,4,2,62230,11611,10100,1215
0,3,2,62190,6277,5400,533
0,5,2,67426,9457,9400,1118
0,6,1,75806,9222,8600,1038
0,5,2,88991,5620,5900,2152
0,3,1,89849,17357,9900,983
0,4,1,81338,11797,7900,1243
0,5,1,80077,6428,6600,1373
0,8,2,77233,3193,4600,1806
0,5,1,66681,9174,9500,728
0,9,2,82526,3799,5200,2063
0,3,2,81930,11521,9700,594
0,4,1,74131,11639,10600,1389
0,7,2,72417,3856,5100,1103
0,3,2,64118,9910,10100,1215
0,5,1,71423,8960,8800,1389
0,6,2,64650,5333,6800,1703
0,5,1,85388,5183,5000,1243
0,6,2,95443,3702,4300,1341
0,4,1,69337,6870,6500,728
0,3,2,46563,6134,6100,482
0,6,1,84905,5582,5400,723
0,3,1,71062,10003,8200,1974
0,4,2,80999,8507,7900,2152
0,3,1,66545,14671,7800,1411
0,6,1,67785,3388,4400,728
0,3,1,71952,11249,7500,1272
0,4,1,70741,7866,6900,1272
0,7,2,94318,6539,7100,920
0,5,1,69440,7963,8600,1313
0,5,2,54268,4782,5200,754
0,6,2,86028,4958,6300,594
0,6,1,64677,8084,8500,630
0,7,1,68874,3840,4100,1125
0,5,1,73988,7668,7135,1038
0,4,2,23881,5171,6200,462
0,3,2,50532,5987,5600,505
0,7,1,91558,8989,9800,1497
0,6,1,59391,5621,7600,505
0,3,2,44367,7267,6300,482
0,5,2,44515,4588,6100,834
0,9,1,83238,3382,5100,5392
0,8,1,92532,6099,6400,1930
0,3,2,68165,8038,7300,728
0,6,1,87775,4554,4600,1243
0,9,1,86414,4384,5800,1153
0,4,1,36142,7390,6300,582
0,6,2,80788,3591,4100,723
0,5,1,93346,7671,6600,1774
0,3,2,68183,5718,6600,533
0,5,1,64839,9737,10400,1215
0,8,1,75484,6061,7100,869
0,6,1,59287,4203,6100,920
0,4,2,63151,7845,7100,923
0,5,1,46695,11168,11700,693
0,7,1,58897,5225,6500,1800
0,5,2,65363,9945,10500,1215
0,8,1,75237,6166,6600,1689
0,4,1,85042,5985,4600,983
0,4,2,87701,8103,7200,2152
0,7,1,92816,6795,7700,1641
0,7,2,97221,3872,4600,2074
0,5,2,73726,4098,4100,920
0,5,2,47550,6215,7800,1398
0,6,2,63079,3321,4600,1215
0,6,2,64064,4327,5000,533
0,7,1,88027,5734,5700,1153
0,5,2,82164,4586,5600,594
0,4,2,84763,6035,5900,853
0,5,2,52113,4846,5600,754
0,3,2,49893,7100,6600,975
0,7,1,92782,4417,4700,1209
0,4,2,46001,6125,6500,975
0,4,1,64458,7866,7400,1118
0,4,1,71214,9071,8000,569
0,6,1,60530,4180,6300,1215
0,5,1,66695,4775,6000,825
0,4,1,89030,9281,7700,1633
0,4,2,36425,6705,6500,462
0,5,1,58823,4908,5800,754
0,5,1,72592,9008,9400,1389
0,4,1,79015,12403,8700,1389
0,8,1,88667,3632,3900,2712
0,4,2,58499,6100,6300,1086
0,5,1,95025,6925,5600,1485
0,2,2,50644,8721,7500,754
0,4,1,88832,6367,5800,1243
0,7,2,68040,2858,2800,1125
0,3,1,58384,9492,8300,1500
0,3,2,79284,8145,7000,920
0,6,1,80906,9707,9500,1113
0,6,1,94011,5746,5900,1485
0,8,1,86875,7885,11100,1673
0,3,2,61319,8188,7235,533
0,6,2,79333,3797,6100,1389
0,7,2,92897,4200,5300,2651
0,5,1,59801,7735,7935,754
0,5,1,75108,7532,7400,1038
0,7,2,67696,5597,7300,930
0,5,1,50385,7693,7300,920
0,5,2,58450,7217,7200,1583
0,4,3,75070,8987,6300,569
0,4,1,73870,5937,5500,1155
0,3,2,43535,5770,5800,482
0,4,2,55683,6035,6000,671
0,5,2,58681,6657,6300,505
0,4,NULL,62795,4881,6200,533
0,6,NULL,77178,8289,9335,1740
0,4,NULL,86466,9842,7400,723
0,4,NULL,69480,5363,4700,1020
0,7,NULL,86344,6621,7000,1543
0,8,NULL,79030,5044,7100,1220
0,8,NULL,94506,2980,4600,2218
0,4,1,77786,9505,7300,920
0,5,2,67430,3922,5100,825
0,6,1,73409,6454,7100,1038
0,3,2,60201,7170,6400,825
0,3,2,49296,8571,8500,623
0,4,1,84454,7244,6700,853
0,5,2,85262,8424,7200,4032
0,2,1,72993,10283,7600,1974
0,5,2,89769,4218,4900,853
0,5,2,68550,4612,4800,533
0,4,2,62955,10649,9935,1215
0,5,2,75101,5207,5135,803
0,5,1,88173,9984,6100,594
0,4,2,52791,7942,7400,1500
0,5,1,85334,8967,8335,1503
0,3,2,69030,9454,7535,923
0,5,1,64555,6553,7935,1313
0,9,1,66433,2376,3600,1320
0,5,2,77050,8038,7900,1389
0,4,2,84388,10100,9000,594
0,4,1,52866,9111,6600,754
0,7,2,45680,3843,4600,1275
0,3,2,63496,7796,6235,533
0,8,2,93395,3583,3100,1641
0,4,2,53463,4903,4300,505
0,6,1,83081,5528,6100,1373
0,6,1,73159,7151,8300,1389
0,4,1,75157,7769,7400,803
0,5,2,73516,4711,5500,1155
0,6,2,65459,4877,5900,630
0,9,1,92792,4298,4700,2651
0,6,1,82271,6575,6600,853
0,5,2,88723,4759,4900,983
0,5,2,72020,5360,4700,803
0,5,2,77380,5190,5235,1389
0,4,2,50773,5977,5000,1086
0,5,2,58929,4598,5500,754
0,8,1,79898,3998,5100,2274
0,4,2,91773,10145,6800,1630
0,6,1,62271,7095,8600,1020
0,8,1,82158,6924,7600,1543
0,6,2,60340,4973,5700,1411
0,5,1,92974,6918,5900,1774
0,5,1,74970,7335,7600,686
0,3,1,62233,14323,10050,1508
0,7,2,55756,2980,4500,1054
0,3,2,53642,7386,7600,837
0,3,1,73831,8956,7900,1974
0,3,2,88528,8840,6800,2152
0,6,2,94071,4161,5100,2351
0,3,2,38837,8355,7200,702
0,6,2,97581,3369,3800,620
0,4,2,85894,6644,5100,1503
0,3,1,52775,10692,9200,505
0,2,2,53544,7428,6200,1086
0,4,2,68344,4068,4200,728
0,4,2,79708,5468,5600,803
0,6,2,79352,5000,4000,920
0,4,1,71227,7625,6400,1623
0,5,1,43795,6621,7100,905
0,2,2,79986,11192,9000,1389
0,8,1,73638,4446,7350,986
0,6,2,74697,5345,6800,569
0,4,2,84349,6853,5500,1503
0,5,2,69902,6666,7800,1215
0,2,2,70523,10071,6850,1974
0,4,2,63908,9771,8950,1215
0,4,1,53734,7018,7950,1003
0,5,2,41513,4075,5150,693
0,6,1,71005,4827,5300,1155
0,3,2,38517,5018,6100,462
0,2,2,50549,7595,7700,671
0,8,1,74538,3999,5000,1103
0,6,2,76895,4755,4600,1389
0,3,2,64223,12147,9950,630
0,6,2,77552,2395,3700,569
0,4,2,91078,7339,5500,1197
0,4,1,72287,8040,7250,920
0,5,2,86500,7577,7600,1373
0,2,1,71757,13119,9900,1506
0,6,1,92865,6596,6600,1197
0,2,2,79755,8646,7850,1155
0,8,1,94898,4718,4200,1353
0,4,2,86451,9678,9050,1243
0,1,1,79732,10725,8100,1155
0,6,1,92482,8825,8100,1197
0,2,2,88042,8250,6900,853
0,4,1,98315,7876,5900,2351
0,7,2,82444,3745,3700,894
0,4,2,97593,6764,6050,620
0,2,2,54696,8618,8800,920
0,5,1,71158,6843,5900,1623
0,1,2,80120,12751,8800,1113
0,6,2,77135,3118,3600,686
0,3,2,94203,7825,6000,1485
0,2,2,49408,6722,5300,482
0,2,2,32713,8885,8800,822
0,6,1,80444,6773,7800,853
0,1,1,60559,12184,9000,1703
0,5,1,89452,10118,9700,1503
0,5,1,97320,7763,7200,1053
0,2,1,63456,10052,6600,825
0,6,2,87463,3247,4000,983
0,4,1,91071,15378,9600,1774
0,3,1,70029,8774,8550,1974
0,2,2,44281,10108,8450,764
0,6,1,60060,6774,6600,630
0,7,1,52526,6906,7650,805
0,3,1,85042,8655,8000,2152
0,5,1,83135,8835,7450,2282
0,5,1,107337,4798,4350,1450
0,3,2,76898,7148,5100,1155
0,4,3,69654,9101,7250,1313
0,4,2,74187,9857,8000,1389
0,5,1,76007,9595,7600,686
0,6,1,75878,7061,7200,920
0,5,1,44437,6542,7400,482
0,4,2,87839,5835,5000,853
0,4,1,82246,6552,6500,2152
0,4,1,66282,6996,7000,1313
0,5,1,88400,5738,4900,983
0,2,2,60886,8779,9100,1020
0,3,2,75940,7793,6900,1155
0,4,2,56039,7661,6900,1251
0,6,1,49097,4195,5200,1046
0,2,2,51127,11432,9600,920
0,4,1,77697,8565,7750,1974
0,5,1,72216,6376,6200,1272
0,9,2,47019,2834,4500,1769
0,3,2,66750,11923,9500,1215
0,3,1,76365,9474,7750,1974
0,4,2,98358,5932,5000,2495
0,4,2,70322,5753,5500,569
0,3,2,89100,8582,7300,2152
0,7,1,71542,3700,4400,986
0,2,2,73402,11937,9650,1389
0,7,1,97902,5566,5100,1065
0,4,1,32671,8412,7500,582
0,4,2,89417,9631,9400,1503
0,2,2,35655,10390,8400,582
0,3,2,40909,11870,9600,975
0,5,1,70868,6494,6400,1272
0,2,2,51125,8757,7200,920
0,8,1,86341,3559,4200,1543
0,2,2,54421,7992,7350,588
0,9,1,50456,4325,5300,1800
0,3,2,81646,8230,6200,983
0,6,1,77281,5143,6350,1155
0,4,2,61612,8749,8400,630
0,3,2,77861,6851,5350,920
0,5,2,76659,5584,5350,569
0,1,1,56849,11439,8400,1003
0,4,2,84747,7923,7250,1373
0,2,1,72090,15435,8600,1272
0,2,1,82820,11054,7800,1373
0,7,1,80341,4656,5700,2063
0,6,2,107810,4615,3900,1290
0,5,2,110055,5050,4050,1216
0,5,1,66708,9388,9750,1118
0,5,1,54760,4465,5650,754
0,2,2,73993,9170,7400,1155
0,4,1,67795,6114,5900,1020
0,5,2,71585,4139,5050,1506
0,3,1,75031,17134,8850,803
0,5,1,82617,8373,8000,1373
0,4,1,62316,6417,6100,1118
0,7,2,80896,3554,4900,1153
0,6,3,75149,6019,6950,569
0,4,1,76712,8079,5800,1389
0,6,1,81209,8359,9100,983
0,4,1,54790,8000,7800,1500
0,3,2,86471,8862,7400,2152
0,7,1,84963,6871,7350,1543
0,7,1,71227,4257,5050,2157
0,5,2,25830,4681,6050,462
0,5,2,67744,5783,8150,3115
0,5,1,97346,6794,5250,909
0,4,1,95055,10390,9550,1630
0,6,1,63944,7013,7950,1020
0,5,2,82712,3479,4150,594
0,2,1,82010,18461,9100,853
0,5,2,70235,4138,6250,1272
0,5,1,66699,5203,5500,825
0,5,2,86495,4561,3550,1243
0,4,1,62529,7868,7825,1215
0,3,2,68473,7918,6810,1703
0,4,1,40556,5423,6100,623
0,6,1,69946,4950,7625,1906
0,5,1,81835,6675,5245,6519
0,5,1,53292,5401,6255,1003
0,4,1,73576,9315,9005,803
0,5,1,61524,7620,7465,825
0,6,1,95657,8264,8505,1930
0,2,1,47662,11882,10315,975
0,3,2,45593,9387,10010,975
0,2,2,50610,13046,9585,1086
0,2,2,55844,7359,5975,671
0,4,2,62107,3773,4265,728
0,2,2,58203,10543,8405,1086
0,2,2,65711,8534,6685,1020
0,4,1,88353,6367,3340,1243
0,3,1,77678,8685,7595,1506
0,3,2,62212,7509,6685,1118
0,3,1,76302,6123,4565,1155
0,4,1,68820,9111,8195,825
0,3,1,59634,6476,6885,1003
0,5,2,70425,3906,4265,1155
0,3,2,63761,8521,7185,1703
0,3,2,61126,6306,6285,533
0,7,2,74134,2527,2830,1455
0,5,1,62838,7062,7695,1020
0,4,2,75635,7638,8095,686
0,5,1,97016,8489,5875,1053
0,2,1,69971,10639,5675,728
0,2,2,63029,8837,9105,1215
0,4,1,80706,8988,7895,2152
0,3,1,49794,6319,5875,834
0,4,2,79435,6689,5875,1974
0,4,2,56676,5333,4775,1086
0,5,2,56092,4057,5985,505
0,8,1,88072,3266,3950,1803
0,5,1,54558,5909,7065,837
0,5,2,55986,4327,5685,1666
0,4,2,54522,6017,6175,1666
0,6,1,78508,4221,3500,2040
0,2,2,63709,9363,6785,1118
0,3,2,73383,7438,5875,803
0,6,2,90643,4628,3825,1209
0,6,1,78106,3993,5995,1220
0,8,1,44717,3093,4280,993
0,4,1,64056,6685,6025,1118
0,8,1,78278,4272,4630,1923
0,5,1,87873,8678,9255,1243
0,5,1,86858,5070,5575,2152
0,3,1,78859,8491,6385,920
0,4,2,78832,5648,4140,1155
0,3,2,57583,5913,6585,671
0,5,1,64436,8915,10715,1411
0,6,1,66212,3618,4365,2198
0,5,2,78616,4209,4665,569
0,3,1,53786,7589,7795,1500
0,2,1,86812,8313,5775,2152
0,4,1,63756,7378,8555,1606
0,5,2,78213,5935,6175,569
0,5,1,82989,8640,7295,2022
0,3,2,58897,9210,8305,1003
0,5,1,73688,8035,8155,1974
0,2,2,72849,7691,6035,1038
0,2,2,87459,0,6745,2282
0,6,1,95776,8136,6915,1641
0,3,1,74633,9657,7355,1623
0,2,2,53163,6404,6345,1086
0,5,1,71809,6599,6695,920
0,3,1,60843,12753,9015,1215
0,5,1,71105,7589,7605,3667
0,3,2,74014,7670,7195,1974
0,5,2,56290,4402,5065,671
0,4,2,66594,5313,4365,728
0,3,2,49930,5302,5475,482
0,4,1,61856,8240,8705,1313
0,2,2,65615,7732,4430,1020
0,4,2,83624,8579,9220,594
0,4,1,81651,11693,7510,1373
0,3,2,72232,7529,5690,920
0,7,2,41852,4784,6090,1628
0,5,1,78416,9627,9675,1740
0,3,2,78619,6024,4480,569
0,4,2,86182,6465,4980,1503
0,3,1,83610,6834,4980,983
0,2,2,56289,9368,8320,505
0,6,2,74614,7427,8720,569
0,3,2,67407,8210,7610,533
0,5,2,88263,4711,4480,1243
0,4,2,51023,6362,5690,920
0,2,2,85364,7185,6000,853
0,6,1,68678,8974,9030,1508
0,4,1,74312,11841,10035,569
0,3,2,64492,9466,7320,1020
0,4,2,55396,6213,5900,505
0,4,2,86258,6588,5190,853
0,6,2,81025,5341,4790,853
0,3,2,73539,10251,7820,803
0,6,2,56934,4302,4790,920
0,4,2,34777,6723,6200,582
0,6,2,54894,5795,6200,1500
0,3,2,50835,7100,6510,1086
0,4,2,43697,4938,5300,482
0,5,2,65630,5021,6200,728
0,3,2,40379,6134,6510,482
0,4,1,65065,8801,8530,1703
0,4,1,68899,8436,8630,1703
0,4,2,83176,6797,5700,853
0,2,2,59998,9871,8330,920
0,3,1,57080,9811,8330,1003
0,6,1,83563,11562,9130,1763
0,4,2,70838,6320,5500,1389
0,2,2,72549,12836,9835,1389
0,6,1,83703,8889,10125,594
0,5,1,80838,10110,7360,1763
0,6,1,79020,4724,5640,920
0,6,2,44183,7686,9775,482
0,5,2,80303,8139,9070,594
0,5,1,63774,8171,8425,1215
0,4,2,55727,6081,6600,1003
0,4,2,58626,6248,5890,1086
0,4,2,88700,5289,3455,594
0,6,2,56259,3302,4680,920
0,5,1,79328,14265,11440,1155
0,4,1,42558,7018,5690,905
0,3,1,72159,13932,9725,803
0,5,1,88170,5169,5590,853
0,6,2,61475,6261,6800,1703
0,4,2,69967,7673,7210,728
0,8,1,94452,6342,6910,1353
0,6,2,74990,4639,4790,1506
0,6,1,79138,8162,8190,1857
0,5,2,70734,5006,5300,569
0,4,2,68373,6174,7210,728
0,4,2,58378,8137,6310,837
0,4,2,59741,8238,7310,837
0,5,2,97627,7453,7100,765
0,4,1,87892,8948,7100,1633
0,6,1,69857,7933,9325,1508
0,6,1,75982,8162,9525,1857
0,7,1,97399,5413,4680,2506
0,8,2,95864,3300,3555,1353
0,7,1,76322,8813,9735,869
0,5,2,61538,8223,8730,533
0,6,1,74655,9733,9635,1974
0,5,2,82543,5192,5190,594
0,4,1,62602,7937,8330,728
0,4,2,80135,6714,4990,594
0,4,2,62070,9250,8730,630
0,5,1,77870,8006,8020,1389
0,4,1,81270,8272,7420,2152
0,3,1,60403,8310,7210,825
0,9,2,90703,3651,3950,1065
0,4,1,71142,7155,7790,1974
0,3,1,77246,10422,7320,1974
0,5,1,97341,12610,8020,1918
0,8,1,34858,4739,7210,882
0,9,1,88379,4657,7210,1803
0,6,2,34095,6050,5300,882
0,4,2,70295,7194,6100,1038
0,4,2,86204,8704,7920,723
0,5,2,52257,4500,5700,1086
0,8,2,74734,3171,4140,1689
0,5,1,83066,3559,4645,594
0,8,1,73525,4062,6370,1923
0,8,1,74398,7223,6770,3276
0,3,2,71158,7929,7170,686
0,8,1,80228,5416,6300,894
0,6,1,81188,9572,7580,3265
0,4,2,86677,7570,5640,1373
0,3,2,42835,6545,6240,975
0,3,1,60885,8267,7960,533
0,8,1,82121,5028,5540,1803
0,3,1,89062,9080,7860,853
0,5,1,70786,9020,7770,1155
0,6,2,80195,6492,6960,1503
0,3,2,77890,8527,6630,1038
0,5,1,54557,9595,9960,920
0,5,1,48952,5067,5320,623
0,5,2,70735,4892,5140,569
0,5,1,86168,9915,8380,2022
0,4,1,61239,7930,6980,728
0,5,2,71094,6345,5270,1506
0,8,1,84685,6673,6480,2452
0,6,2,66455,5434,6860,3910
0,7,1,74481,5855,6980,1689
0,4,1,71220,6610,6900,803
0,9,2,79419,4543,6270,869
0,6,1,92219,5043,4645,2351
0,6,1,63376,8381,9000,1508
0,2,2,56542,12382,8620,837
0,4,1,80361,10480,8420,1503
0,2,2,49688,9905,10025,764
0,4,1,65259,10698,11740,533
0,5,1,71965,8936,8110,1974
0,3,1,82343,12966,8620,853
0,4,1,80503,7917,7510,1373
0,4,1,83528,6423,5890,594
0,5,2,64470,4266,4690,533
0,4,1,61889,9768,10035,728
0,8,1,96902,5663,5700,1930
0,6,1,83285,7326,9030,2152
0,4,2,78035,7615,7620,1623
0,4,1,65743,8378,7420,1313
0,8,1,57728,4139,5900,1717
0,5,1,83246,8843,8530,1243
0,3,1,87641,12001,7320,853
0,4,1,63518,11112,10000,728
0,4,1,98507,5892,4580,1053
0,6,2,40593,4591,5990,975
0,8,1,62735,3917,4780,1125
0,4,1,65367,7504,7100,1703
0,4,1,73323,7563,8180,803
0,4,1,61703,13290,10330,1215
0,3,2,57128,8281,8520,920
0,7,1,97543,6189,5990,1641
0,3,2,69022,8767,7610,533
0,6,1,60947,8072,9220,1606
0,3,2,56391,5091,5490,754
0,3,1,76192,12918,8010,569
0,4,2,63260,6188,5690,533
0,7,1,67223,6935,8230,1125
0,4,1,78244,8199,7110,803
0,2,2,62605,10375,7820,728
0,7,1,81155,6518,7320,2193
0,5,1,64126,8710,9050,728
0,5,1,77072,11468,11550,803
0,5,2,74780,8317,8220,1506
0,6,1,51122,5767,6100,1003
0,4,1,95552,12462,8830,1918
0,6,1,64238,5450,5800,1703
0,5,1,77652,9553,10010,1857
0,4,1,52863,5496,5390,920
0,2,2,61996,8794,7960,1020
0,3,1,72222,NULL,11340,1623
0,4,1,80584,10764,8620,1503
0,8,1,81645,9606,10530,2712
0,2,2,79547,7636,4680,569
0,4,1,75091,9161,8320,1272
0,8,1,80347,3233,4795,1543
0,3,1,71489,6801,5290,1389
0,8,1,81627,2350,3655,1543
0,4,2,46778,6434,7200,482
0,2,2,62801,9103,8530,728
0,4,1,84631,10403,10035,1503
0,3,2,82994,9630,7690,1113
0,5,1,86575,5092,6310,1373
0,4,1,73253,9222,7920,1389
0,6,1,83091,6146,7720,1243
0,6,1,73344,6890,8090,1740
0,3,1,57103,8845,6960,920
0,3,2,83667,5983,5400,983
0,2,2,74214,11360,8930,1389
0,2,2,51764,8561,6760,754
0,5,1,49017,5854,6200,975
0,6,1,80959,5386,6170,1113
0,3,2,76263,6779,5350,1155
0,7,1,74618,3263,4705,1455
0,6,1,75777,3883,4740,1506
0,7,1,74948,8229,8290,2274
0,6,1,57740,4552,6370,1500
0,4,2,64979,5662,5640,728
0,7,1,91080,9142,10580,2218
0,4,1,73308,7268,8130,1974
0,3,1,89102,8926,7150,1243
0,6,1,59084,5188,5130,671
0,3,1,76746,10483,7420,1272
0,5,1,67375,4147,5750,630
0,4,2,40307,6295,5850,482
0,5,1,86702,6802,5750,1763
0,5,1,60267,7064,8020,825
0,3,2,70819,9842,8450,1974
0,5,2,69734,5103,6360,533
0,6,1,65042,6515,7370,1508
0,4,2,75861,6762,6150,1974
0,6,2,73496,7100,8880,1623
0,4,2,85836,7377,7570,1373
0,3,1,65215,9429,8040,728
0,7,1,96160,6065,5850,2218
0,6,1,83241,6913,6560,2152
0,5,1,71074,8126,8980,1974
0,9,2,90030,2900,3850,1641
0,5,2,86497,6659,7370,594
0,7,1,85383,5152,5970,2063
0,3,2,69072,6531,5940,1020
0,5,1,84788,4855,5540,5092
0,5,1,82401,4560,4945,983
0,4,1,69509,10932,8870,1703
0,4,2,85621,8178,7760,1373
0,5,1,70424,4101,5540,1155
0,5,2,58482,7165,7460,671
0,6,1,87192,9620,8570,1763
0,7,1,85009,6429,5030,2063
0,8,1,45864,5282,7250,782
0,4,2,94287,7013,5145,1918
0,6,2,86024,4191,4930,2152
0,3,1,80130,10319,8470,1503
0,5,1,68414,7998,7360,1703
0,6,1,73953,6731,8730,1740
0,3,1,70971,8516,7790,569
0,5,1,64495,5544,6660,533
0,3,2,69878,5974,4690,533
0,4,1,103035,5241,3565,1450
0,5,1,66151,5963,6915,1703
0,4,2,83752,4800,3900,983
0,2,2,48895,5326,6010,482
0,4,2,41894,6224,5710,623
0,2,2,67835,6182,5810,728
0,4,1,89858,8313,7315,2022
0,4,2,69424,0,7315,1215
0,2,2,40658,12492,9825,975
0,3,1,49060,7630,5890,623
0,3,2,87256,8371,5310,1763
0,4,2,61962,5244,3900,1020
0,4,2,81449,6997,8325,594
0,4,1,65954,5988,7315,1703
0,2,2,58726,6068,5710,505
0,7,1,81605,4334,8115,894
0,4,2,67131,6996,7515,1703
0,4,2,70573,5150,5085,803
0,4,2,66170,3433,3495,533
0,4,2,83126,9163,8825,1503
0,5,2,90938,3891,3900,1341
0,3,2,59764,6852,6315,671
0,3,2,61817,7893,7315,1411
0,7,1,91082,4893,7315,1065
0,4,2,31845,5735,7315,702
0,6,1,62642,4314,5210,1515
0,6,1,96216,6367,5510,1353
0,3,1,73498,7611,7515,1974
0,3,1,55135,10239,8725,1086
0,3,2,69289,10416,6915,1313
0,4,2,62905,3974,3295,1020
0,3,2,73179,5425,5510,803
0,3,1,83465,11373,7515,1763
0,3,1,73628,9651,8725,1389
0,3,1,62571,7611,7715,1703
0,3,2,74015,7941,7315,1038
0,1,1,83837,11786,7915,2152
0,4,1,78348,4658,6315,1155
0,4,2,88324,5955,5740,1763
0,6,1,62269,4877,6110,1028
0,4,2,52531,3829,4485,671
0,3,1,78991,8389,7295,1272
0,4,2,81872,4945,5290,2152
0,3,2,57950,7501,6295,837
0,3,1,71607,5766,5390,1155
0,3,1,74428,4137,6110,1155
0,2,1,85909,11120,7515,1633
0,2,2,65035,6247,4905,533
0,2,2,73665,7661,4705,1623
0,4,2,86421,4086,4100,1243
0,5,1,73730,5644,4905,1038
0,3,1,92236,8391,6110,1774
0,4,1,91828,9823,9125,620
0,4,2,72169,4652,4905,1155
0,3,1,40113,5579,6315,834
0,5,2,84500,5018,5310,2152
0,4,1,63232,8408,7315,1020
0,3,2,74114,8627,7315,1272
0,5,1,76269,6643,7915,686
0,2,1,65345,9303,7515,1703
0,5,1,86710,6348,7115,2152
0,3,1,71367,11909,9825,1389
0,4,1,66730,4251,4905,1020
0,3,1,52501,9204,8525,505
0,6,2,84329,3499,3090,1543
0,5,1,77035,7248,7945,1974
0,3,1,78697,6563,5310,920
0,3,1,79346,10010,7315,686
0,2,2,72544,9340,7115,1974
0,5,1,74455,6712,7315,2208
0,4,2,81212,4488,4305,2412
0,4,2,85376,4929,4905,983
0,2,2,57804,10786,10025,1086
0,3,2,70385,9788,9325,1389
0,3,2,69471,8413,7915,1703
0,1,1,78035,12966,8705,1272
0,3,2,74416,12123,8625,1506
0,7,1,57032,4830,6515,2172
0,2,2,52656,9147,6795,754
0,3,1,86988,10212,6545,1763
0,3,1,61296,12191,9525,728
0,2,1,88084,13152,8325,1633
0,4,1,73643,7399,6315,920
0,3,1,50595,10440,7815,1086
0,3,2,73478,9552,7115,1389
0,2,2,55983,13562,9725,1086
0,2,1,82456,12431,7715,2152
0,2,1,86439,13584,7715,2282
0,2,2,69137,11064,10730,533
0,3,1,87512,8118,6725,1633
0,2,1,81727,9101,8125,983
0,1,2,62888,11972,9535,1215
0,3,1,74787,7937,6925,1506
0,2,2,47866,7371,6525,482
0,1,2,69177,10012,7525,1020
0,2,1,89305,9320,6325,1763
0,1,2,69191,8908,7325,728
0,3,1,89243,9197,7325,1633
0,3,2,40236,6477,5520,482
0,2,2,92402,6520,5920,2495
0,3,1,89383,8118,6325,1633
0,2,2,42870,7100,5800,975
0,3,1,78224,9566,7725,1506
0,2,1,66256,9454,8335,728
