VehicleAge,VehBCost,WheelTypeID,VehOdo,MMRCurrentAuctionCleanPrice,WarrantyCost,IsBadBuy
5,5900,1,51390,5230,671,0
7,5435,1,97896,3827,1641,1
5,4900,1,42525,4748,482,1
5,4935,2,80366,5371,1763,0
2,7645,1,79602,9264,1974,0
8,4160,1,94707,3602,2939,1
5,7305,2,92278,8292,765,0
4,8085,1,85656,9911,1243,1
6,7800,1,67841,6813,2003,0
5,7855,1,79789,8319,1389,1
5,7840,1,75882,10501,1038,0
5,4635,1,67359,5125,1898,0
4,8070,1,59281,9121,1086,1
3,7445,1,65327,8401,728,0
3,8150,2,75705,9468,1389,1
4,8170,1,78796,10433,686,1
4,6685,1,87915,11624,2282,1
3,4610,2,67501,6024,533,0
6,5155,2,54031,3728,1386,1
4,10255,1,66089,11642,728,0
4,7070,1,61024,7981,1020,0
7,4105,2,73021,3399,2508,0
3,5525,2,77282,7601,1389,1
5,7385,1,72790,8132,569,1
1,7500,2,55097,9542,920,0
3,5125,1,86404,6138,1243,0
8,4170,1,77147,2758,1455,1
8,7555,1,82908,4676,894,1
3,8640,2,61155,9468,1215,0
4,5900,2,46835,6584,975,0
4,7765,2,74142,6726,1389,1
2,5520,2,15743,6702,462,1
6,4455,1,64214,4086,825,0
4,5215,2,50237,6045,1500,0
5,7385,1,80311,6815,594,1
6,4490,2,89362,4856,2063,0
7,4350,1,106657,3455,3191,1
4,7550,2,77175,6712,569,0
5,4880,1,82728,4125,983,0
5,7470,1,83074,7702,723,1
4,5435,1,38522,5489,582,1
5,5200,1,76060,5869,1974,0
3,5525,2,52875,7158,920,0
5,6660,1,64172,6867,1313,1
8,5995,1,64938,5823,833,1
6,4725,2,83144,3300,2063,0
3,6335,1,80987,7214,853,0
4,6030,2,69859,5827,1215,0
3,5850,2,47685,6569,975,0
5,5275,2,68780,4731,1703,1
4,4915,2,78609,6015,1974,0
6,8950,1,89111,6782,1503,0
4,5700,1,63677,6844,1801,1
5,8905,1,38711,8281,882,1
4,8245,1,84449,8160,2152,0
2,7300,1,45891,8169,693,1
5,4930,2,91378,5145,620,0
6,6720,1,72886,6173,1455,0
3,5005,2,97361,6722,1630,1
5,5405,2,88701,5071,1113,1
8,5400,1,76144,4522,2274,1
6,3340,1,75748,3815,4922,1
6,8675,1,69799,7034,1711,1
3,7340,1,78079,13026,1272,1
3,6260,1,40068,6279,623,1
7,8535,1,87654,5414,894,0
4,3810,1,80789,4582,723,1
5,3730,2,60115,4570,825,1
5,5325,2,83815,4912,983,0
8,5200,1,92476,5984,1930,1
8,4115,1,96637,2585,5913,1
3,5335,2,65374,6528,1215,0
6,4190,1,72749,3611,803,0
3,8550,2,38543,9241,582,1
4,6200,2,42472,6930,975,0
4,5000,2,81653,6447,1113,1
2,6340,2,85249,0,2282,0
5,4190,1,86454,4475,1243,1
3,7000,2,48167,7672,764,1
2,7940,1,92487,14804,909,0
5,9040,1,78504,8953,1974,1
5,5370,2,88136,4955,2152,1
6,4845,1,52672,3823,754,1
4,8200,2,52831,7611,1500,0
4,5000,2,45692,6516,975,0
5,7480,1,69519,5874,1703,0
3,4310,2,56260,4852,505,1
7,3995,1,82298,4007,1283,1
3,5600,2,51526,6569,1086,0
4,6400,2,73345,4980,803,0
4,5040,2,76151,5266,920,1
6,9650,1,96662,8157,1918,1
4,6390,1,74275,7472,1272,1
2,7830,1,58655,13805,1086,0
2,9625,2,71126,12180,1389,0
3,7000,2,73815,8147,569,0
6,6740,2,69158,6252,930,0
6,5030,1,60226,3764,2003,1
4,7080,1,74852,8944,1974,0
3,8650,1,68365,9930,1703,0
3,7505,1,41144,8758,1328,0
4,4415,1,70847,4943,686,0
4,7215,1,73071,9114,1623,1
8,6100,1,85224,1,1803,0
5,7600,1,83650,8012,1113,1
5,4825,2,96322,4587,1630,0
4,10200,2,83928,10843,1503,1
7,7045,1,57255,4868,888,0
6,10355,1,72948,9319,2040,1
7,4365,2,75513,3667,1689,1
5,5000,2,76310,5145,569,0
3,6935,1,60805,8876,825,0
5,6950,1,74854,5411,1974,1
5,9300,1,76924,8872,1389,0
5,4000,1,48576,3855,834,1
4,4600,2,63683,4783,728,0
5,4600,1,66389,4083,630,0
4,5190,2,72703,5943,803,0
8,6220,1,80565,4011,2193,1
4,8495,1,75825,9869,1389,0
4,4200,2,89259,5465,1243,1
3,6955,1,79352,9932,686,1
1,6100,2,46342,7324,975,0
3,7245,2,54184,7625,671,0
2,6500,2,30428,7285,462,0
2,10380,2,66600,11347,1215,0
7,6100,1,79664,7213,1689,1
3,9015,2,75888,9949,803,1
5,5960,2,60612,4904,1215,1
5,5730,1,79758,5370,1389,0
3,8080,1,69265,9304,1703,1
4,7335,1,88944,7743,1633,0
3,7515,1,93433,9294,2351,0
5,7970,1,70476,7207,686,0
2,7400,2,48015,8282,693,0
5,5000,2,80838,4487,1633,1
4,3905,2,55505,3175,505,0
3,7105,1,59427,8676,1003,0
5,5430,1,73625,5891,1974,0
3,5600,2,77336,6468,1389,1
3,7815,1,76317,10162,1272,1
5,4530,1,72469,4284,920,0
4,9505,2,60977,9589,1215,1
5,4090,1,71872,3449,686,1
4,4730,1,94720,6294,620,0
4,6825,1,67852,6671,728,0
5,6155,1,63543,4211,923,1
3,6635,2,69306,7794,825,0
5,4680,2,72946,3919,1155,0
7,3900,1,77241,3509,1455,0
4,5240,2,79040,4830,1155,1
4,5655,2,64870,5357,533,0
8,4140,1,96725,4372,2651,1
4,5600,3,58605,4493,505,1
6,4710,1,71914,3728,1689,0
5,7850,1,70527,11313,1272,0
3,6035,2,55148,6545,1086,0
9,6405,1,73360,5244,2508,1
3,6600,2,68183,5718,533,0
6,5635,1,77723,5920,2040,0
5,8210,1,72484,7545,1389,0
4,8615,1,68218,10241,630,0
4,8995,2,86813,9044,1503,1
4,6230,1,86244,8283,983,1
5,6975,2,56308,7023,1003,1
3,5880,1,65961,7791,728,0
4,7300,2,85589,7978,723,0
1,7740,2,54214,9045,920,0
3,6745,2,66272,6328,728,0
6,7885,1,95002,9279,1353,1
7,5825,1,95752,6572,1930,1
6,11190,1,81647,12854,1633,1
4,7230,1,77884,7347,1155,1
2,7700,2,79086,9018,1974,0
7,5100,2,69340,4315,2003,0
2,8905,1,78978,11197,1506,1
5,7070,1,62045,7074,1215,1
4,7850,1,89042,8619,1633,1
6,6660,1,87577,4743,1373,0
5,4775,2,82783,3629,853,1
7,5195,1,81192,4566,1803,0
2,8125,2,78168,9170,1155,0
3,7260,2,65220,9139,825,0
4,4875,1,52529,4013,588,0
4,8900,1,53911,7690,1086,0
3,6275,1,61512,6819,533,1
2,6550,2,48169,7150,482,0
4,6500,1,76760,6909,2091,0
5,4775,1,80693,3482,983,0
8,5980,1,77357,6310,1806,1
7,3500,2,71121,3540,1689,0
3,5700,3,40114,5702,482,1
3,4590,1,24435,4760,462,0
6,3800,2,72092,4037,1740,0
7,3380,1,84039,3520,1283,1
4,9835,2,66031,9528,1215,1
3,6505,1,79227,7103,1974,0
3,7300,2,70262,9121,1974,0
4,5010,1,60399,6476,1313,0
6,8385,1,67287,8050,1703,1
2,8615,2,61891,10375,728,0
2,7200,1,50104,8609,754,1
6,5160,2,85262,5494,1763,1
7,4655,1,85824,3468,5392,1
4,8350,1,56432,9010,837,1
3,7100,2,76268,10176,1389,1
7,5030,1,64409,3733,1125,1
6,3175,1,83934,3826,1543,0
3,8300,1,81237,13091,1633,0
3,10100,1,50358,10968,1086,1
3,7100,2,65701,7466,1703,0
5,6000,1,90293,8407,2206,1
5,6915,2,82596,8437,1763,0
3,7335,1,59826,6245,671,1
2,9595,2,64305,12396,1215,0
5,4245,1,63008,4026,1020,1
3,9280,1,78786,15731,1155,0
5,6000,1,49335,4276,834,1
7,4900,2,95981,4345,2651,0
4,8370,2,82695,8146,1503,0
2,7800,1,77900,10974,1506,1
6,10135,1,97252,9731,1918,0
7,6800,1,77392,6524,1220,0
5,7595,1,75903,9090,1389,1
5,6275,1,85551,6869,2282,0
4,8065,2,86035,7978,723,0
5,8000,1,85023,6859,983,1
2,7655,2,66140,8595,1703,0
6,4200,1,95616,4539,2651,1
4,6740,1,55768,5587,671,1
6,3945,1,89992,4977,2412,1
4,4450,2,80859,5446,853,0
8,6100,1,95382,7321,2506,1
5,4110,1,89919,5463,853,1
2,6400,2,64922,8025,1020,0
6,5200,1,76974,5546,1338,1
7,4900,2,75112,3200,1689,0
3,7715,2,69162,9340,1703,0
4,3515,2,65209,3680,1020,1
1,6900,2,50477,7301,754,0
3,7940,1,55744,11316,1003,0
5,9305,1,67341,8835,1215,0
7,6335,1,78352,6576,1220,1
6,6170,1,83898,6024,1243,1
2,9950,1,74990,13720,1974,0
3,5300,2,56373,6461,1086,0
6,8605,1,60656,8269,2003,0
8,3365,1,92440,3054,5913,1
5,4025,1,94146,4143,1341,0
4,8550,1,83976,9243,1243,1
5,5730,1,56127,6006,754,1
2,8255,1,77452,12983,803,0
5,4345,2,96183,4533,1053,0
4,10575,1,86841,8964,594,0
2,5800,2,25436,5952,462,0
6,5235,2,74565,4274,920,0
2,7055,2,76860,0,1623,0
4,9295,1,69578,10791,728,0
2,6500,2,44649,7040,623,0
5,3585,2,48680,3294,693,1
3,5635,2,53847,5901,920,1
4,9410,1,79007,8202,569,0
4,7875,1,81519,9324,1503,1
7,7200,1,89906,7860,1933,1
6,2500,1,98351,3192,1641,1
5,7400,2,61837,7412,3115,0
1,10500,2,83227,11064,1503,0
2,6300,2,51340,8277,754,0
2,6865,2,47673,7898,693,0
7,2675,1,86476,3658,2712,1
6,8385,1,79249,7301,1455,0
2,7250,1,75663,10518,1974,0
3,8130,1,80946,10890,1503,0
5,8600,1,62958,8132,533,0
4,5300,1,67376,5213,533,1
5,7315,1,74979,8229,1974,1
4,10180,1,83348,11055,1243,1
7,3900,2,77251,3385,2508,0
3,7300,2,88402,7414,1373,0
2,7310,1,71432,9358,803,0
3,9650,2,69527,12255,630,0
7,7455,1,70339,6208,869,1
5,8725,1,70100,9463,2976,1
3,6385,1,76358,10181,686,1
7,6235,1,93612,5486,1353,1
7,4620,1,78937,4114,1220,0
3,5100,2,75064,6461,1389,0
4,3580,1,92731,4736,909,0
4,8385,1,76050,11630,1272,1
4,6725,1,79018,8229,803,1
5,6400,1,65527,5618,728,1
5,6125,1,78334,6078,1740,0
3,6170,2,66731,6996,728,0
4,7695,2,66024,6757,1703,0
6,4860,2,50539,3728,1386,0
5,3775,1,92057,5936,909,1
8,2660,1,90614,2694,1353,1
3,7200,1,72942,12143,803,0
4,7490,3,69438,9179,533,0
8,6700,1,75725,6462,2274,1
3,5300,2,48090,6371,975,0
2,8050,2,85906,9368,2152,0
8,6950,1,86312,6305,1673,1
6,3285,1,74820,4246,1220,1
4,7700,1,70502,8104,1038,1
5,10700,1,78299,9422,1623,1
3,7190,1,61744,8676,1118,1
3,8570,2,39507,9245,582,0
4,7175,1,69417,8700,1020,0
5,6190,2,72130,4811,1623,0
5,5300,1,64664,4998,1020,0
6,4360,1,49475,3744,1134,1
8,5425,1,68541,5608,1320,1
5,5000,2,60252,6008,1020,1
7,5065,1,69745,4903,2198,0
7,7120,1,65027,4384,1320,1
6,7650,1,69516,6795,825,0
3,5690,1,76224,7228,1389,1
8,4500,1,89217,3567,1673,1
5,7800,1,75701,8640,1857,0
4,7285,1,54705,7648,671,1
4,8000,1,79963,9491,1506,1
6,6040,1,83631,5424,1283,1
3,5100,1,83595,7158,1243,0
6,4700,1,55546,3657,1220,1
6,5945,1,54162,2963,1003,0
3,5870,2,54602,7155,671,1
2,7200,1,51868,8609,754,0
8,3240,2,73317,1932,1455,1
7,7755,1,92514,8106,1785,1
4,5260,2,79147,5495,803,0
4,5800,2,59561,5533,671,0
4,5930,2,72923,6860,569,0
3,8270,2,76851,7927,1974,0
4,6255,2,80546,7934,1113,1
5,5680,1,84677,7036,853,1
4,6805,1,77146,8995,1272,1
4,5935,1,68205,5710,1118,0
2,7945,1,73525,10435,920,1
6,7480,2,81036,7256,894,0
8,8810,1,81774,6309,1283,1
8,4220,1,94738,3726,2362,0
7,3255,2,88159,3331,1543,1
4,6130,1,70215,6832,569,1
4,6830,1,73810,7316,1974,0
6,5995,1,78106,3993,1220,0
6,4100,1,95298,3491,2939,1
5,4515,1,76617,5282,1974,0
3,5825,2,65261,6864,1313,0
5,7300,1,71176,6571,569,0
4,4350,1,86244,6299,853,1
3,4175,2,86407,5376,853,1
6,4010,1,80227,3988,1543,1
2,7400,2,46480,8376,693,0
2,7400,1,48870,8476,623,1
5,5200,2,60334,3858,533,0
3,7240,1,79013,9129,1974,1
3,5670,2,79648,8495,803,1
4,4615,1,72171,5223,1389,1
4,8400,1,82253,9032,1243,0
5,6555,3,31746,5879,941,1
4,5530,1,62824,6026,1215,0
6,7780,1,82907,4091,723,0
1,7245,2,42739,7500,693,0
4,5635,1,68875,4652,1020,0
4,6290,1,74899,7250,1623,0
5,6500,1,78806,4625,1974,1
7,8525,2,86439,8151,1413,1
7,4740,2,89347,4162,2452,1
7,5235,2,82467,3793,2452,1
4,5960,1,61183,4722,1020,0
4,8980,2,85746,9567,1763,0
8,7605,1,84615,5108,1673,1
3,9140,1,69754,11602,1215,1
3,5390,2,54191,6158,505,0
4,4215,1,84458,4245,723,1
4,5290,2,88078,4859,1243,0
8,6000,1,85387,5487,2193,0
6,9700,1,50272,8955,1303,0
3,7025,2,80081,9090,1113,1
3,7200,2,85367,9209,2152,0
3,9045,1,81978,13334,983,0
5,8535,2,77309,7715,686,1
2,6800,1,51149,7689,1086,1
3,7385,1,74048,8300,1974,0
4,5325,2,73845,5363,1389,1
2,7450,2,48100,8102,693,0
2,7900,1,72198,9771,1272,0
4,6940,1,82521,8321,1503,1
1,8235,2,40925,9414,834,0
6,5040,2,69428,3487,1125,1
2,5720,2,62845,6555,1215,1
8,5995,1,64938,5823,833,1
6,4195,1,89375,4179,1933,0
7,2400,2,66435,2260,1125,0
7,6100,2,83298,5789,1283,0
4,8950,1,88658,11844,1503,1
5,4515,1,93156,4706,765,0
3,6640,2,70465,7979,803,0
4,6990,2,85602,7120,594,0
4,5100,2,79122,6596,1389,1
3,5220,1,48882,6595,975,1
6,4845,1,47481,4670,975,0
7,4515,2,84112,5312,1023,1
4,6550,2,77301,7224,569,0
5,7040,1,60747,8075,825,1
5,8045,1,63983,8095,533,0
4,4900,2,65841,5215,1215,1
3,6835,1,66113,7525,1703,1
4,5780,1,78341,7301,1272,0
7,4245,2,88337,3340,1933,0
5,4975,1,73905,4820,1155,1
5,4970,1,79842,5111,1155,1
5,5785,2,60146,5669,825,0
4,7450,2,48004,7627,482,1
4,4660,1,80615,6431,1243,0
8,6430,1,61651,4419,1223,1
4,7485,1,82355,9926,983,1
8,4060,2,60055,3044,1613,0
4,6525,1,51371,7106,1251,0
7,6020,1,79368,6471,2040,1
5,8205,1,71967,7909,920,0
7,3560,2,85861,3623,2712,1
8,6905,1,76446,5882,1689,0
5,6465,1,41353,6299,482,1
4,5280,2,79984,5761,803,1
4,5400,1,85000,4817,594,1
1,6800,2,42244,8583,975,0
3,6105,1,82437,8550,2152,1
5,8835,2,79580,8612,1389,0
3,8300,2,68206,8282,1703,0
3,5315,1,95623,9671,2495,0
6,5595,1,88004,4116,983,0
2,5455,2,78524,9641,2091,0
7,8560,1,77434,6796,2040,1
3,7250,2,54066,10457,1003,1
5,8445,1,59730,7518,1666,0
4,7625,1,64572,7714,728,0
3,10025,1,65702,11012,1020,1
5,5340,2,76976,5093,1623,0
5,6200,1,78527,5807,1272,1
9,8450,1,95457,7250,920,1
6,4200,1,68613,6168,1125,1
4,10195,3,78182,12793,1623,0
5,3845,1,100668,4338,1450,0
3,7890,1,86690,10232,853,1
9,3525,1,71812,4103,2274,1
2,8740,1,69075,12746,1118,0
1,6800,2,48511,7861,693,0
6,4975,1,47929,4552,693,1
2,7485,1,79488,8298,1974,1
6,2370,2,96232,4006,2506,1
4,10185,1,94947,14299,2206,1
4,4910,1,84323,6298,853,1
2,8600,2,68873,12568,1215,0
3,7775,1,66340,10512,1118,1
3,6225,2,53007,7244,1086,0
8,3745,1,92981,3230,2939,1
4,5875,2,72624,6357,803,1
2,7795,2,90047,9071,2351,0
5,4610,2,87223,4915,1633,0
3,5245,2,84387,8830,1373,1
4,7770,1,68048,8303,1508,0
6,4765,1,67897,4356,825,1
4,8940,1,68975,12663,1020,1
3,9205,1,72303,11787,1389,1
4,7435,1,86125,6770,853,1
4,7500,1,71689,7472,1272,0
9,4100,1,77646,3328,1689,1
8,7105,1,75855,4756,869,1
6,5650,1,88646,5357,1633,0
7,7070,1,75216,5269,2391,1
6,4600,2,76853,4199,1923,0
4,5055,1,85629,4824,1243,0
6,4850,1,97208,4670,1630,1
5,5200,2,40212,4166,834,0
4,6500,2,63292,6584,1411,1
5,4500,2,73719,4082,4622,0
3,3725,2,82188,6298,594,0
1,7500,2,54421,8639,920,0
2,7745,1,58243,9209,1500,0
7,3975,1,96743,2997,2651,1
5,7070,1,62045,7074,1215,1
4,4680,2,64874,4179,728,0
6,4800,2,58653,4162,505,0
5,6450,1,63580,5327,728,1
4,5670,2,86658,5345,2152,0
6,4360,1,85186,6555,1283,0
3,8230,1,78055,9497,1974,0
2,8035,1,60309,11254,1118,0
5,6790,1,76704,7408,1974,1
5,9140,1,78288,10222,920,1
5,6735,1,79331,6192,686,1
6,7330,2,75117,6853,1740,1
2,8405,1,60799,12604,825,0
4,6975,1,59508,7376,2700,1
2,9825,2,40658,12492,975,0
5,4810,1,88386,5178,983,1
5,5370,2,72834,5551,803,1
2,7060,1,80217,8890,723,1
3,7700,1,61375,8425,1118,1
2,7150,2,91554,8684,1341,1
4,5655,1,78636,7170,920,0
3,7275,1,72611,8526,569,1
7,5300,2,61329,6183,4210,0
2,7000,2,68535,8398,923,0
3,8400,2,69306,8282,1703,1
5,4150,1,80721,6451,1503,0
6,7180,1,81454,6442,723,0
6,5050,1,73601,4210,1155,0
6,3990,1,84587,3635,1673,1
4,6900,1,71412,8069,803,1
3,6825,2,83232,7927,2152,0
6,5990,1,62554,5677,728,1
4,3500,1,89970,4839,1243,1
4,6370,2,43566,5713,975,0
6,6235,1,79759,4510,1974,1
5,9215,1,76373,8379,1272,1
4,8350,1,61897,7840,1606,0
6,8725,1,74656,7567,1740,0
2,7525,1,54422,8253,1500,1
7,8100,1,67148,5829,3415,1
5,9020,1,84018,8660,1113,0
8,7640,1,81537,5924,2452,0
8,9570,1,82462,7268,2063,1
6,5960,2,81967,6521,594,0
4,7405,1,53201,6114,671,0
5,5100,1,57138,5952,1666,1
4,6450,1,84829,8098,1633,0
2,8285,2,80360,9376,2152,0
7,5920,1,59591,5830,1386,1
3,6865,1,83425,9618,1243,0
4,7370,2,64775,7494,1215,0
6,5935,1,78349,4785,2040,1
4,5965,1,87407,5333,1243,0
2,8335,1,54184,8724,920,0
3,7230,1,70449,7171,803,1
2,6200,2,44518,6275,482,0
3,5625,2,40575,5112,482,0
2,8205,2,66559,10159,728,1
6,3095,1,93438,2567,2062,1
3,8900,2,63548,10596,1215,0
1,7700,2,50892,8125,920,0
4,6500,2,82802,7572,1763,0
4,9475,1,73659,8337,569,0
4,5690,1,84664,5201,1243,1
8,7050,1,67883,5913,1028,0
3,7440,1,90198,11003,909,0
2,6300,1,59546,7412,1086,1
3,5755,2,72875,6771,1389,1
5,6650,1,65857,5855,825,0
4,6850,1,87710,7425,853,1
3,5495,1,63186,5826,1020,1
4,7145,1,75045,7392,1038,1
5,6070,1,50083,4836,920,0
7,3410,1,79316,3779,2508,1
3,10060,1,44442,9924,975,1
4,7560,1,75146,9708,803,0
6,5670,1,63247,5811,1515,0
2,6400,2,50083,8277,754,0
6,7300,1,76626,6613,920,0
7,4800,1,92423,4191,2939,1
6,10530,1,91720,10914,2062,1
3,9835,1,75479,14936,1974,0
8,3600,1,74768,4130,1689,0
8,8970,1,95008,9141,2218,1
4,8740,2,78261,8967,1155,0
4,4005,1,56614,4001,754,1
5,5865,1,51569,4578,754,1
4,4580,2,40211,3871,482,0
5,3300,2,92308,3405,1341,1
4,6050,1,87699,9052,1763,1
4,6360,1,65468,6412,1118,0
5,7330,1,76403,9426,920,1
8,4245,2,88822,3300,1283,1
2,6830,1,74630,7890,1155,0
5,3900,1,51252,3583,920,0
3,7095,2,66895,7399,1801,0
5,5935,2,69088,5032,1215,0
5,8580,1,85830,7915,2412,1
7,4700,1,70890,3797,1455,1
4,7500,1,67387,9293,1703,0
3,7820,1,70982,9811,1272,0
4,5125,1,46331,4480,553,1
5,8450,2,82592,7281,723,0
5,5385,1,92707,5233,2351,1
6,5970,1,85414,6258,1373,1
4,7095,1,55394,3969,1334,0
7,8250,1,91044,7695,1497,0
7,4945,2,83230,4557,1933,1
6,4815,1,63753,3647,2003,1
4,10325,1,88742,14154,1243,1
6,8750,1,88905,6364,1503,1
6,4995,2,90319,3934,1053,1
3,7840,2,78644,8871,1155,0
1,7730,2,77175,8255,1272,0
6,6855,1,76196,5026,2157,0
2,7335,1,95630,13481,1485,0
3,8140,1,39589,9218,582,1
5,4535,1,70811,2748,1272,1
3,8605,1,65990,9001,1703,0
4,6405,1,77003,7557,1506,1
4,6770,1,70301,7615,1623,0
5,4100,1,77862,4031,686,1
4,10135,1,74317,13467,1038,1
7,6235,1,93612,5486,1353,1
5,13535,1,86080,12439,1113,1
5,5515,1,79953,4767,1974,1
3,7100,2,92433,8282,2351,1
8,3660,1,82845,3898,1543,1
4,5170,1,84018,6346,1763,1
4,7255,2,70140,8868,2091,0
3,6500,2,48883,9748,1398,0
4,3600,2,95294,5792,1341,1
3,5150,2,60436,5182,533,1
3,4910,1,73717,5729,569,0
3,7095,1,78113,7682,1506,0
5,4975,1,89232,4624,1243,1
5,10100,2,82792,8804,983,1
4,3620,1,89711,5380,1503,1
3,8100,2,63995,8582,1703,0
3,6830,2,76181,5711,2091,0
2,6065,2,66867,7604,825,0
5,6980,1,67485,7367,630,1
4,8445,1,81703,7862,1373,1
5,6425,2,72444,6310,1623,0
8,5060,1,91260,4739,1785,1
5,5475,2,67622,5105,923,0
6,7200,1,92989,7227,2351,0
7,3310,2,80418,3099,2322,1
6,4340,2,84348,3595,1243,1
3,6525,2,75657,8438,1974,0
3,6600,2,57373,6640,671,1
5,7800,1,74243,7737,1506,1
3,8025,1,67756,12538,1118,0
4,6285,2,56194,6275,1086,0
3,6700,2,87861,8126,1373,0
7,8160,1,89394,1,2452,0
4,5110,1,79049,7477,1155,0
7,6645,2,71622,5337,1923,0
5,5100,2,50889,6235,1086,0
2,5020,1,62332,6456,533,1
4,4900,1,82386,5198,853,1
6,2955,1,78662,3383,2508,1
4,4800,1,56352,5287,920,0
3,6720,2,49766,5951,623,1
3,7505,1,85485,13603,1503,0
2,6735,2,45256,7931,482,0
8,3805,1,97722,5499,2939,1
5,5710,1,81880,4873,594,1
4,6225,2,71654,4736,803,1
4,7025,1,85081,8053,1243,1
6,6370,1,88472,7097,1243,1
1,6800,1,51487,8366,754,1
7,3790,1,87200,3798,1543,1
3,3845,1,93968,4985,1053,1
6,4400,1,83752,3942,1283,1
5,9435,1,89409,11254,2282,0
5,4990,2,74345,4331,1155,0
8,3200,2,77407,3107,1923,1
4,8200,1,87445,12948,2152,1
5,8745,1,52562,8419,1417,0
4,4299,1,81101,4031,594,1
5,9055,1,79865,9307,569,0
3,6555,1,80577,7667,1633,0
6,4150,1,76966,1,1806,0
4,4110,2,61586,0,728,1
3,8410,2,70642,7885,1974,0
7,5200,1,82312,4766,1153,0
4,7770,1,65164,9516,728,1
4,7650,2,65135,7899,1703,0
6,3940,1,75854,4891,1103,0
4,5705,2,49535,5066,1116,1
4,6135,1,86434,9655,983,1
6,6195,1,86688,6174,594,0
3,7580,1,67722,7744,1703,0
6,4100,2,70866,5106,1923,1
6,3950,1,102860,5706,2571,1
3,6820,2,87588,5665,1763,1
2,9245,2,63545,11925,1215,0
3,5980,2,48545,5632,482,1
3,6000,2,85959,9294,2152,1
4,3475,1,95712,4998,1341,1
3,8540,2,61410,8617,1020,1
6,6345,1,83463,5563,1153,0
4,5355,2,80914,6476,853,0
5,4815,1,78451,4422,686,1
